NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2
517,E01004700,3,24829.773081601223,430477.2164614973
517,E01035717,2,802.0033907884703,430477.2164614973
518,E01000014,5,113001.85978425594,1958219.6117049775
518,E01000041,5,81857.11958782043,1958219.6117049775
518,E01000046,3,98021.72930478337,1958219.6117049775
518,E01000054,5,148698.22253072943,1958219.6117049775
518,E01000055,5,183473.39038557012,1958219.6117049775
518,E01000056,5,42008.304056790505,1958219.6117049775
518,E01000057,4,109515.0367051696,1958219.6117049775
518,E01000058,5,145069.68199656365,1958219.6117049775
518,E01000059,5,2742.9440009216614,1958219.6117049775
518,E01000072,5,25640.310096504356,1958219.6117049775
518,E01000073,5,17715.327186162227,1958219.6117049775
518,E01000074,6,94558.30983446434,1958219.6117049775
518,E01000075,5,462198.474542636,1958219.6117049775
518,E01000076,4,214478.45584611013,1958219.6117049775
518,E01000077,6,7982.920689443584,1958219.6117049775
518,E01000079,5,72231.10928859559,1958219.6117049775
518,E01000080,5,64108.144535410516,1958219.6117049775
518,E01000095,6,36074.38398107366,1958219.6117049775
518,E01000096,5,38843.88735197238,1958219.6117049775
519,E01000842,3,82643.85522872141,872100.2273330718
519,E01000843,2,90377.10759604856,872100.2273330718
519,E01000844,2,2311.1895558075867,872100.2273330718
519,E01000845,2,72701.86164802566,872100.2273330718
519,E01000846,2,8435.751899627192,872100.2273330718
519,E01000848,2,98970.62493338677,872100.2273330718
519,E01000849,2,57940.7221766088,872100.2273330718
519,E01000882,4,21139.02772051152,872100.2273330718
519,E01000887,2,948.6101733490725,872100.2273330718
519,E01000888,4,9711.23305074427,872100.2273330718
519,E01000890,2,15645.575240447612,872100.2273330718
519,E01000892,1,133055.9434417462,872100.2273330718
519,E01000897,2,52462.86187729764,872100.2273330718
519,E01000898,2,126260.01838214698,872100.2273330718
519,E01000903,3,99495.84440860251,872100.2273330718
520,E01004198,2,22951.688890179576,878428.8796823177
520,E01004199,1,9864.375838532149,878428.8796823177
520,E01004201,2,12319.466982936523,878428.8796823177
520,E01004203,2,114162.68429641666,878428.8796823177
520,E01004204,2,5930.847335256767,878428.8796823177
520,E01004205,1,748.3596266678558,878428.8796823177
520,E01004206,1,18686.64577887533,878428.8796823177
520,E01004208,2,652.8159878085698,878428.8796823177
520,E01004209,2,51037.109125382325,878428.8796823177
520,E01004211,1,127358.22226041948,878428.8796823177
