lsoa,hospitality_industry_share,shiftwork_industry_share
E01000117,0.034229828850855744,0.22127139364303178
E01000118,0.03992015968063872,0.20758483033932137
E01000119,0.0462085308056872,0.18957345971563982
E01000120,0.02949438202247191,0.19241573033707865
E01000121,0.03650793650793651,0.2873015873015873
E01000122,0.028532608695652172,0.21467391304347827
E01000123,0.055441478439425054,0.2248459958932238
E01000124,0.0779816513761468,0.22935779816513763
E01000126,0.06686332350049164,0.2615535889872173
E01000127,0.0755813953488372,0.29069767441860467
E01000128,0.06892778993435449,0.22428884026258206
E01000129,0.07510431154381085,0.31154381084840055
E01000130,0.06918918918918919,0.332972972972973
E01000131,0.07828810020876827,0.25052192066805845
E01000132,0.058423913043478264,0.2649456521739131
E01000133,0.058265582655826556,0.2940379403794038
E01000134,0.06459627329192547,0.2683229813664596
E01000135,0.06666666666666667,0.16794871794871796
E01000136,0.03614457831325301,0.13102409638554216
E01000137,0.06386066763425254,0.23947750362844702
E01000138,0.07519788918205805,0.2704485488126649
E01000139,0.05694444444444444,0.19027777777777777
E01000140,0.05689488910318226,0.19575699132111862
E01000141,0.11534603811434303,0.2577733199598796
E01000142,0.10373831775700934,0.22242990654205608
E01000143,0.06818181818181818,0.2713903743315508
E01000144,0.09325153374233129,0.16687116564417176
E01000145,0.03353658536585366,0.21646341463414634
E01000146,0.07429130009775171,0.16422287390029328
E01000147,0.060824742268041236,0.32061855670103095
E01000150,0.04130052724077329,0.27855887521968364
E01000151,0.07796610169491526,0.3220338983050848
E01000152,0.05597579425113464,0.24810892586989408
E01000153,0.05066344993968637,0.29071170084439085
E01000154,0.07829977628635347,0.25615212527964204
E01000156,0.044422507403751234,0.19249753208292203
E01000157,0.05432098765432099,0.20864197530864198
E01000158,0.04845222072678331,0.20053835800807535
E01000159,0.032805429864253395,0.2319004524886878
E01000160,0.04887218045112782,0.20300751879699247
E01000161,0.059012875536480686,0.2113733905579399
E01000162,0.04415954415954416,0.25213675213675213
E01000163,0.05844155844155844,0.2649350649350649
E01000164,0.07822685788787484,0.2607561929595828
E01000165,0.05785123966942149,0.2396694214876033
E01000166,0.03486750348675035,0.22454672245467222
E01000167,0.046686746987951805,0.2605421686746988
E01000168,0.04822695035460993,0.20283687943262413
E01000169,0.037484885126964934,0.22128174123337363
E01000170,0.039647577092511016,0.2555066079295154
E01000171,0.0647887323943662,0.26384976525821596
E01000172,0.02717391304347826,0.15489130434782608
E01000173,0.03308823529411765,0.18627450980392157
E01000174,0.051787916152897656,0.2157829839704069
E01000175,0.046966731898238745,0.18297455968688844
E01000176,0.05668016194331984,0.21862348178137653
E01000177,0.04398148148148148,0.14120370370370372
E01000178,0.037943696450428395,0.13831089351285192
E01000179,0.06256109481915934,0.16813294232649073
E01000180,0.03830911492734478,0.1809775429326288
E01000181,0.054979253112033194,0.13174273858921162
E01000182,0.04308390022675737,0.1564625850340136
E01000183,0.046199701937406856,0.12816691505216096
E01000184,0.0475609756097561,0.27682926829268295
E01000185,0.05188679245283019,0.23742138364779874
E01000186,0.008333333333333333,0.21071428571428572
E01000187,0.014124293785310734,0.22033898305084748
E01000188,0.020718232044198894,0.19337016574585636
E01000189,0.03778135048231511,0.25562700964630225
E01000190,0.02531645569620253,0.20126582278481014
E01000191,0.01649175412293853,0.21289355322338832
E01000192,0.05993690851735016,0.24605678233438485
E01000193,0.07492195629552549,0.254942767950052
E01000194,0.07854630715123095,0.22977725674091443
