lsoa,deprived_1plus_share,deprived_2plus_share
E01004607,0.32653061224489793,0.07142857142857142
E01004608,0.4030612244897959,0.125
E01004609,0.33168805528134254,0.0769990128331688
E01004610,0.46984572230014027,0.14446002805049088
E01004611,0.3927927927927928,0.16036036036036036
E01004612,0.540590405904059,0.1918819188191882
E01004613,0.6123032904148784,0.2575107296137339
E01004614,0.4868421052631579,0.1854066985645933
E01004615,0.6113475177304964,0.25390070921985813
E01004616,0.46153846153846156,0.15254237288135594
E01004617,0.5137741046831956,0.18457300275482094
E01004618,0.3540489642184557,0.08851224105461393
E01004619,0.313373253493014,0.07385229540918163
E01004620,0.3891336270190896,0.11013215859030837
E01004621,0.37965616045845274,0.09455587392550144
E01004622,0.3969171483622351,0.12909441233140656
E01004623,0.3622159090909091,0.10511363636363637
E01004624,0.4098360655737705,0.1377049180327869
E01004625,0.28964059196617337,0.048625792811839326
E01004626,0.3011734028683181,0.05867014341590613
E01004627,0.36079077429983525,0.12026359143327842
E01004628,0.437570303712036,0.1608548931383577
E01004629,0.43023255813953487,0.09800664451827243
E01004630,0.6428571428571429,0.26443768996960487
E01004631,0.47446236559139787,0.15591397849462366
E01004632,0.4184027777777778,0.11805555555555555
E01004633,0.6362126245847176,0.26411960132890366
E01004634,0.4566813509544787,0.13069016152716592
E01004635,0.45045045045045046,0.15165165165165165
E01004636,0.46849757673667203,0.14378029079159935
E01004637,0.42328042328042326,0.14638447971781304
E01004638,0.3227722772277228,0.06336633663366337
E01004639,0.4075520833333333,0.11197916666666667
E01004640,0.3220779220779221,0.07272727272727272
E01004641,0.49680715197956576,0.17113665389527458
E01004642,0.45949214026602175,0.17049576783555018
E01004643,0.48140495867768596,0.19318181818181818
E01004644,0.43058161350844276,0.14165103189493433
E01004645,0.6441717791411042,0.26012269938650306
E01004646,0.43390357698289267,0.15396578538102643
E01004647,0.44855305466237944,0.2090032154340836
E01004648,0.402321083172147,0.10444874274661509
E01004649,0.38785834738617203,0.1045531197301855
E01004650,0.36533957845433257,0.08313817330210772
E01004651,0.42120911793855303,0.10208126858275521
E01004652,0.4899645808736718,0.14757969303423848
E01004653,0.41353383458646614,0.14661654135338345
E01004654,0.41722408026755853,0.1254180602006689
E01004656,0.5280289330922242,0.20433996383363473
E01004657,0.3639398998330551,0.05342237061769616
E01004658,0.4126778783958603,0.15523932729624837
E01004659,0.4243498817966903,0.12056737588652482
E01004660,0.3118440779610195,0.07196401799100449
E01004661,0.45529411764705885,0.1776470588235294
E01004662,0.4346153846153846,0.11025641025641025
E01004663,0.43454038997214484,0.17270194986072424
E01004665,0.7461139896373057,0.40932642487046633
E01004668,0.5702054794520548,0.2328767123287671
E01004669,0.6826923076923077,0.3434065934065934
E01004670,0.8277356446370531,0.4799566630552546
E01004674,0.6575875486381323,0.3320363164721141
E01004675,0.6231343283582089,0.2891791044776119
E01004676,0.469760900140647,0.19549929676511954
E01004677,0.529338327091136,0.20973782771535582
E01004678,0.5789473684210527,0.2679425837320574
E01004679,0.623773173391494,0.28680479825517996
E01004680,0.3504424778761062,0.06371681415929203
E01004681,0.43899782135076254,0.12309368191721133
E01004682,0.5119047619047619,0.13392857142857142
E01004683,0.3504823151125402,0.0707395498392283
E01004684,0.5211864406779662,0.22033898305084745
E01004686,0.6058588548601864,0.27430093209054596
E01004687,0.2314540059347181,0.028189910979228485
E01004690,0.25517241379310346,0.041379310344827586
E01004691,0.28361344537815125,0.046218487394957986
E01004692,0.3825503355704698,0.08277404921700224
E01004693,0.3225806451612903,0.0865874363327674
E01004694,0.44935064935064933,0.12337662337662338
E01004695,0.5137111517367459,0.1480804387568556
E01004696,0.6296829971181557,0.31556195965417866
E01004697,0.4482758620689655,0.13943028485757122
E01004698,0.5545023696682464,0.17061611374407584
E01004699,0.4510022271714922,0.14253897550111358
E01004700,0.43523316062176165,0.12953367875647667
E01004701,0.4072632944228275,0.10765239948119326
E01004702,0.7509328358208955,0.4216417910447761
E01004703,0.3587962962962963,0.09953703703703703
E01004705,0.3606837606837607,0.07179487179487179
E01004706,0.35777126099706746,0.11730205278592376
E01004707,0.27320954907161804,0.05172413793103448
E01004708,0.5061898211829436,0.18707015130674004
E01004709,0.5363128491620112,0.2360335195530726
E01004710,0.6435506241331485,0.3231622746185853
E01004711,0.6181150550795593,0.2998776009791922
E01004712,0.36141304347826086,0.11548913043478261
E01004713,0.3170731707317073,0.04591104734576758
E01004714,0.3381995133819951,0.08029197080291971
