NLC,log_total_activity,log_entry_activity,log_exit_activity,zero_total,zero_entry,zero_exit
756,8.558789678933689,6.957896432305275,8.333738805114121,2,1,1
757,9.909279714167324,8.647302642522696,9.576538816507005,0,0,0
758,10.445117321728427,9.542674323659048,9.92500111862636,2,1,1
759,8.467391000914194,6.884594707192232,8.237739162528667,54,28,26
760,9.737263830170713,8.727976736371089,9.284047015808603,52,26,26
761,10.981262722138894,10.65212000986394,9.709998082359236,3,2,1
762,8.5523722770088,7.136662236080178,8.27456119095371,69,43,26
763,11.219057222111065,10.565150600624301,10.485094497198611,0,0,0
764,10.24531660648451,9.7376862263659,9.324303017342979,1,1,0
765,10.106995169927828,8.7368263850816,9.813934283466027,1,1,0
766,9.785037450457517,8.780238705063233,9.329233293286158,58,31,27
767,11.18677474952077,9.948765895973269,10.844358885559679,48,22,26
768,8.857340446896838,7.600355899228613,8.522750775815197,47,21,26
769,9.73855542242393,8.155126496056651,9.508876727748152,2,1,1
770,10.504817844465881,9.316973098090976,10.141189868373242,0,0,0
771,9.334674893221242,8.02928624081891,9.018622351001255,3,2,1
773,10.477331912365425,9.653729322898915,9.899618972150698,51,25,26
774,9.553540783808891,8.070911323013883,9.29610470698365,64,32,32
775,9.551060241170882,8.683914644431056,9.006198593831808,40,18,22
776,10.151734972777827,9.352021598118922,9.554954208010022,4,2,2
777,11.420161508987222,10.586478124311782,10.85023122911944,4,2,2
778,11.597876401845078,10.540946822853861,11.1709138331828,3,2,1
779,9.51152191315064,8.123299985973224,9.22458012890701,0,0,0
780,10.05865587701375,9.63250044158788,9.000306011495548,1,1,0
781,8.910224100377793,8.334190192310356,8.08471425475519,75,36,39
783,9.716854944955445,9.420633919146491,8.355983502380779,2,2,0
784,10.340282544539047,9.735289041757362,9.550523865097238,2,1,1
787,10.369907436118051,9.444237754569492,9.865337875641746,2,1,1
788,10.715057282119444,9.644933674286152,10.295071385582576,0,0,0
789,11.781310892185504,11.112773103663056,11.062949067322611,1,1,0
831,9.748896158838653,8.673037445647644,9.331945677874005,58,30,28
832,10.575631850484967,9.934069353646716,9.828147497104597,58,29,29
852,11.753043321396985,11.220653540307445,10.868270280770862,2,1,1
884,10.978792865585136,9.722732047542232,10.643660581422155,0,0,0
