alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
20.0,0,boardings,Weekday,1680,0.009181135073663246
20.0,0,boardings,Weekday,1740,0.03077865346053041
20.0,0,boardings,Saturday,1080,0.08963739315932906
20.0,0,boardings,Saturday,1140,0.07458938313476804
20.0,0,boardings,Saturday,1200,0.05286705662438129
20.0,0,boardings,Saturday,1260,0.03947149511833857
20.0,0,boardings,Saturday,1320,0.03382762488326888
20.0,0,boardings,Saturday,1380,0.026732370255938612
20.0,0,boardings,Saturday,1440,0.006726152224639277
20.0,0,boardings,Saturday,1500,0.002724500048572035
20.0,0,boardings,Saturday,1560,0.0023327310042407165
20.0,0,boardings,Saturday,1620,0.004258132325772919
20.0,0,boardings,Saturday,1680,0.00814613731802977
20.0,0,boardings,Saturday,1740,0.011782768638565014
20.0,0,boardings,Sunday,1080,0.058966907836264036
20.0,0,boardings,Sunday,1140,0.05061831299888346
20.0,0,boardings,Sunday,1200,0.03825383558582148
20.0,0,boardings,Sunday,1260,0.028186272663082657
20.0,0,boardings,Sunday,1320,0.02164175022355337
20.0,0,boardings,Sunday,1380,0.014085355322570601
20.0,0,boardings,Sunday,1440,0.008577486624389076
20.0,0,boardings,Sunday,1500,0.003552901855601034
20.0,0,boardings,Sunday,1560,0.0027552448881098335
20.0,0,boardings,Sunday,1620,0.004185342143028815
20.0,0,boardings,Sunday,1680,0.009181135073663246
20.0,0,boardings,Sunday,1740,0.03077865346053041
20.0,0,alightings,Weekday,1080,0.11019405971357284
20.0,0,alightings,Weekday,1140,0.08145239627035598
20.0,0,alightings,Weekday,1200,0.05591355118235344
20.0,0,alightings,Weekday,1260,0.04187567483286956
20.0,0,alightings,Weekday,1320,0.03471004130158415
20.0,0,alightings,Weekday,1380,0.025621141132314153
20.0,0,alightings,Weekday,1440,0.012659964580450917
20.0,0,alightings,Weekday,1500,0.0049108516146561376
20.0,0,alightings,Weekday,1560,0.003048843845492787
20.0,0,alightings,Weekday,1620,0.0026295894401746956
20.0,0,alightings,Weekday,1680,0.0035024957104086195
20.0,0,alightings,Weekday,1740,0.012676573079852376
20.0,0,alightings,Saturday,1080,0.0852538952631138
20.0,0,alightings,Saturday,1140,0.07185681231581421
20.0,0,alightings,Saturday,1200,0.055155660590573564
20.0,0,alightings,Saturday,1260,0.042387420320947146
20.0,0,alightings,Saturday,1320,0.037031017838136907
20.0,0,alightings,Saturday,1380,0.03149212805074142
20.0,0,alightings,Saturday,1440,0.009391637767845224
20.0,0,alightings,Saturday,1500,0.003683550540443385
20.0,0,alightings,Saturday,1560,0.0021694741459612962
20.0,0,alightings,Saturday,1620,0.0020031509974726682
20.0,0,alightings,Saturday,1680,0.0031943161846616536
20.0,0,alightings,Saturday,1740,0.005634310788360543
20.0,0,alightings,Sunday,1080,0.05843050110836792
20.0,0,alightings,Sunday,1140,0.05012623071881469
20.0,0,alightings,Sunday,1200,0.03979504725870021
20.0,0,alightings,Sunday,1260,0.031126854755055326
20.0,0,alightings,Sunday,1320,0.02483869184552785
20.0,0,alightings,Sunday,1380,0.017805798534341017
20.0,0,alightings,Sunday,1440,0.012659964580450917
20.0,0,alightings,Sunday,1500,0.0049108516146561376
20.0,0,alightings,Sunday,1560,0.003048843845492787
20.0,0,alightings,Sunday,1620,0.0026295894401746956
20.0,0,alightings,Sunday,1680,0.0035024957104086195
20.0,0,alightings,Sunday,1740,0.012676573079852376
20.0,1,boardings,Weekday,1080,0.12277496278508164
20.0,1,boardings,Weekday,1140,0.08421088492768444
