MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000250,0.0,0.0,417.33952,209.20938999999998,209.20938999999998,417.33952
E02000251,0.0,0.0,650.25001,368.12086,368.12086,650.25001
E02000252,2564.652274922316,5712.931459860293,2007.47759,2234.05858,4798.710854922316,7720.409049860293
E02000253,0.0,0.0,1173.03242,619.30311,619.30311,1173.03242
E02000254,0.0,0.0,2377.28199,1439.98874,1439.98874,2377.28199
E02000255,753.42742854,2111.554128912504,987.44099,593.40971,1346.83713854,3098.995118912504
E02000256,0.0,0.0,694.9482399999999,539.92525,539.92525,694.9482399999999
E02000257,5175.715416466507,12182.422444737958,5476.49539,8810.46127,13986.176686466508,17658.917834737957
E02000258,182.02843934780677,688.2597475516001,261.40461999999997,205.21743999999998,387.24587934780675,949.6643675516
E02000259,498.36703624,1609.623106083036,346.35292,230.00263999999999,728.36967624,1955.976026083036
E02000260,0.0,0.0,3875.72484,3597.93327,3597.93327,3875.72484
E02000261,0.0,0.0,2214.72323,1440.09526,1440.09526,2214.72323
E02000262,513.18217323,785.1741789184,1204.9545699999999,1170.3350599999999,1683.5172332299999,1990.1287489183999
E02000263,0.0,0.0,2306.81287,2348.68115,2348.68115,2306.81287
E02000264,523.1255156889704,1213.217768152776,655.89269,553.22267,1076.3481856889703,1869.1104581527761
E02000265,0.0,0.0,2639.19944,2282.25968,2282.25968,2639.19944
E02000266,1926.5195744975001,5888.219495380222,2743.0936500000003,2664.71617,4591.2357444975005,8631.313145380222
E02000267,0.0,0.0,1705.28459,1128.48158,1128.48158,1705.28459
E02000268,0.0,0.0,591.73452,491.02565,491.02565,591.73452
E02000269,1044.7571671752642,3354.166307169507,650.20821,819.21445,1863.9716171752643,4004.3745171695073
E02000270,1261.902833803,3225.0798047473604,2555.29559,2160.14844,3422.051273803,5780.375394747361
E02000271,0.0,0.0,82.58112,113.07275,113.07275,82.58112
E02000272,0.0,0.0,292.2416,204.81124,204.81124,292.2416
E02000274,0.0,0.0,2554.68953,1938.85622,1938.85622,2554.68953
E02000275,0.0,0.0,1101.31882,966.46801,966.46801,1101.31882
E02000276,0.0,0.0,572.72708,446.00099,446.00099,572.72708
