MSOA11CD,od_origin_total,od_destination_total
E02000654,1025,1336
E02000655,2961,3390
E02000657,1502,1934
E02000658,1593,1720
E02000659,860,1374
E02000660,745,697
E02000661,1832,1432
E02000662,885,1086
E02000663,356,591
E02000664,11559,9438
E02000665,1329,1204
E02000666,718,742
E02000667,493,654
E02000668,1327,1318
E02000669,1006,1381
E02000670,637,771
E02000671,1184,1174
E02000672,5912,4775
E02000673,1689,1477
E02000674,987,1141
E02000675,1057,2155
E02000676,612,852
E02000677,1087,1549
E02000678,920,1790
E02000679,883,1451
E02000680,1331,1591
E02000681,1700,1759
E02000682,1011,1088
E02000683,1057,1427
E02000685,1776,1807
E02000686,1605,2401
E02000687,1117,1192
E02000689,966,817
E02000690,1386,1059
E02000691,4891,3807
E02000692,2452,1682
E02000693,2962,2151
E02000694,1082,1385
E02000695,878,1410
E02000696,820,840
E02000697,2749,2385
E02000698,408,811
E02000699,592,696
E02000700,806,1245
E02000701,2327,2350
E02000702,893,1354
E02000703,636,1020
E02000704,3288,3006
E02000705,1224,2008
E02000706,2227,2604
E02000707,1186,1957
E02000708,860,1394
E02000709,697,1501
E02000710,2168,1787
E02000711,5562,3080
E02000712,942,1645
E02000713,665,1289
E02000714,1328,1298
E02000715,641,897
E02000716,490,531
E02000717,1304,1496
E02000718,533,972
E02000719,671,1137
E02000720,835,742
E02000721,2229,2112
E02000722,679,949
E02000723,2790,2657
E02000724,389,587
E02000725,4818,3489
E02000726,20461,16208
E02000727,2129,2138
E02000728,382,453
E02000729,495,905
E02000730,1683,1753
E02000731,3665,2653
E02000732,594,628
E02000733,812,942
E02000734,708,800
E02000735,930,864
E02000736,944,1904
E02000737,2310,2395
E02000738,1309,1155
E02000739,697,1227
E02000740,1375,2145
E02000741,2012,2173
E02000742,1088,2079
E02000743,2342,1928
E02000744,810,1172
E02000745,650,1284
E02000746,3985,3180
E02000747,4708,3938
E02000748,702,727
E02000749,1242,1766
E02000750,1921,2375
E02000751,937,791
E02000752,1188,1733
E02000753,387,439
E02000754,883,657
E02000755,580,953
E02000756,2636,2254
E02000757,1567,1296
E02000758,286,420
E02000759,1259,1549
E02000760,1063,927
E02000762,775,892
E02000763,1026,757
E02000764,1266,1281
E02000765,828,799
E02000767,888,869
E02000768,245,362
E02000769,1277,1504
E02000770,362,610
E02000772,1911,1851
E02000773,789,1301
E02000774,687,747
E02000776,425,528
E02000777,443,869
E02000779,1550,1412
E02000780,5091,4220
E02000781,1124,1884
E02000782,1307,1326
E02000783,656,820
E02000784,911,739
E02000785,2743,2417
E02000786,1657,1791
E02000787,1001,1380
E02000788,1179,1204
E02000789,1722,1657
E02000790,363,525
E02000791,5691,3808
E02000792,410,474
E02000793,1340,1561
E02000794,1158,900
E02000795,770,867
E02000796,1353,2250
E02000797,3965,3374
