NLC,Station,mode_label,total_entry,total_exit,total_activity
514,Barking,"LO,LU",127581.68535594108,127269.88140418139,254851.56676012248
515,Barkingside,LU,8374.381182226845,8847.070368742818,17221.451550969665
5150,New Cross,LO,27396.189290399278,27853.636826976188,55249.826117375465
516,Barons Court,LU,39041.56584276355,38179.288292308374,77220.85413507192
517,Bayswater,LU,30446.93198992,27052.10867487967,57499.04066479967
518,Becontree,LU,20871.069577812414,19804.808927252,40675.878505064415
519,Belsize Park,LU,36221.01655158306,35427.75967233174,71648.7762239148
520,Bethnal Green LU,"LO,LU",85354.56063974396,83078.11461546151,168432.67525520548
521,Blackfriars LU,LU,76255.16618538304,72324.2276070011,148579.39379238413
522,Blackhorse Road,"LO,LU",67326.22138140215,64112.0731924033,131438.29457380547
523,King George V,DLR,11009.90347703954,10732.152705312139,21742.056182351676
524,Bond Street,"EZL,LU",274623.0390943119,285258.23111617443,559881.2702104864
525,Borough,LU,28295.22939987,29411.912337870002,57707.14173774001
526,Boston Manor,LU,9738.227826431137,9959.6784368412,19697.906263272336
527,Bounds Green,LU,30535.144899281433,29313.750997633502,59848.89589691494
528,Bow Road,LU,31160.488620931013,29607.372468639758,60767.86108957077
529,Brent Cross,LU,13249.355212615823,12760.735316113356,26010.09052872918
530,Bromley-by-Bow,LU,27758.14831409436,26958.038660932,54716.18697502636
5301,Clapham High Street,LO,11092.429174655517,10817.129485527345,21909.55866018286
531,Buckhurst Hill,LU,15404.152932601837,15325.000148355657,30729.153080957494
532,Burnt Oak,LU,22075.149946001897,21005.41637939116,43080.566325393054
533,London City Airport,DLR,24501.13975798733,24851.247830223987,49352.38758821132
534,Caledonian Road,LU,29105.89032790769,26892.128298588046,55998.01862649574
5345,New Cross Gate,LO,38586.90545788531,40466.24207206582,79053.14752995112
535,Camden Town,LU,140398.77606400131,150743.40671370827,291142.18277770956
5356,Crystal Palace,LO,25642.803966801886,25688.291547580226,51331.09551438211
536,Cannon Street LU,LU,29011.002812005,26626.06561205817,55637.06842406317
5362,Forest Hill,LO,36028.83794109767,34393.35284716031,70422.19078825798
537,Canons Park,LU,15252.09464055924,14982.652933744817,30234.747574304056
5372,Wandsworth Road,LO,5757.1797914177005,5995.557725401384,11752.737516819085
5376,Norwood Junction,LO,32664.206872686707,29555.338294729612,62219.54516741632
5378,Penge West,LO,9518.305783618262,9887.256078322138,19405.561861940398
538,Pontoon Dock,DLR,19552.73192209646,19268.820028513772,38821.55195061023
539,Chalfont & Latimer,LU,10081.122767957017,10015.180644398797,20096.303412355814
5397,Anerley,LO,9883.391509038202,9271.08184281473,19154.473351852932
540,Chalk Farm,LU,38421.49643830402,31039.409650707006,69460.90608901103
5404,Brockley,LO,31438.35965187894,29754.913756970298,61193.27340884924
541,Chancery Lane,LU,50756.39483549836,54413.15126751542,105169.54610301378
5411,West Croydon NR,"LO,TRM",38346.455562834,32088.65806682,70435.113629654
5418,Honor Oak Park,LO,18129.137265296926,17441.550255315324,35570.68752061225
542,Embankment,LU,128114.16335042093,125509.5992288377,253623.76257925865
5421,Denmark Hill,LO,45731.031651575366,44016.386632690475,89747.41828426585
5423,Peckham Rye,LO,56382.02568399665,57327.92175090584,113709.9474349025
5424,Queens Road Peckham,LO,29223.70387417415,29794.050034916003,59017.753909090156
543,Chesham,LU,7081.682668302673,6524.46869656,13606.151364862673
5437,Sydenham,LO,28566.636367154093,30695.880782644395,59262.517149798485
544,Chigwell,LU,2076.330164951884,2053.4545222773163,4129.7846872292
