NLC,Station,Fare Zone,easting,northing,lon,lat
726,Tooting Bec,3,528047.2745,172373.6505,-0.15923362533504307,51.43589927439103
727,Tooting Broadway,3,527433.7399,171443.250700001,-0.16838983681417344,51.42767600459317
728,Tottenham Court Road,1,529815.381,181382.496200001,-0.1305038755407188,51.51645724635473
729,Tottenham Hale LU,3,534484.4517,189470.7161,-0.06016465065370944,51.588048703622064
730,Totteridge & Whetstone,4,526120.3494,193989.2184,-0.1792054604098072,51.63058779485697
731,Tower Hill,1,533579.4477,180755.3849,-0.07652627141943263,51.50994511580925
733,Tufnell Park,2,529148.7021,185859.620100001,-0.13846565572304778,51.55684430975304
734,Turnham Green,2/3,521265.8017,178779.0811,-0.2545503301237331,51.4949578319235
735,Turnpike Lane,3,531512.729,189637.9518,-0.10297211354184564,51.59025232853629
736,Upminster,6,556146.114,186868.406300001,0.25111551581131547,51.55908765486934
737,Upminster Bridge,6,555088.411,186770.1083,0.23582667980199254,51.558496054141195
738,Upney,4,545845.6808,184254.344900001,0.10155366360748233,51.53835457119145
739,Upton Park,3,541254.2061,183793.485200001,0.03521015765496934,51.53538004104193
740,Uxbridge,6,505661.0034,184161.1754,-0.4776347848292753,51.54646222722115
741,Victoria LU,1,528998.7715,179129.9345,-0.14308928980094832,51.49640097859263
742,Walthamstow Central,3,537176.4746,188994.332599999,-0.0215170203946605,51.58311960662003
743,Wanstead,4,540673.1526,188253.507300001,0.028620677765270462,51.57560161289604
745,Warren Street,1,529248.7448,182266.0339,-0.13834177714005547,51.524527123997764
746,Warwick Avenue,2,526112.4036,182039.408,-0.18360675558678705,51.52319886210523
747,Waterloo LU,1,530968.1802,179961.9154,-0.11442663408154648,51.50342525720376
748,Watford,7,509569.47,196595.9617,-0.4174120635262017,51.65748010048808
751,Wembley Central,4,518182.8112,185084.709899999,-0.2968265595489338,51.55228164027704
752,Wembley Park,4,519315.8795,186388.4845,-0.28005006150968614,51.56376083873252
753,West Acton,3,519372.862,181295.9254,-0.2809538703054756,51.517980197246935
754,Westbourne Park,2,524901.4238,181755.9263,-0.20115293263288994,51.52092006250626
755,West Brompton,2,525380.8439,178024.490700001,-0.19557175970385998,51.487279564113926
756,West Finchley,4,525546.1518,191626.9482,-0.18834268491450493,51.60948689407505
757,West Ham,2/3,539130.9809,182944.644300001,0.0042827258459676954,51.5282792316888
758,West Hampstead LU,2,525592.1984,184652.8993,-0.19016960275566852,51.546801915703966
759,West Harrow,5,514199.9396,188029.3693,-0.35329028029996584,51.57956661616709
760,West Kensington,2,524684.9763,178398.058900001,-0.20545700029973243,51.490790555082114
761,Westminster,1,530195.6727,179668.226399999,-0.1256586526219809,51.5009642958388
762,West Ruislip,6,508378.6627,186795.997400001,-0.43764707604605596,51.56962926058854
763,Whitechapel,2,534644.6261,181850.3379,-0.06076871394741355,51.51953209733413
764,White City,2,523307.8235,180748.416200001,-0.22446214525403546,51.5122152625013
765,Willesden Green,2/3,523328.566,184883.4222,-0.22271672855408042,51.54937241454188
766,Willesden Junction,2/3,521858.4876,182959.8201,-0.2445731603163596,51.53240375197415
767,Wimbledon,3,524800.3804,170683.6656,-0.2065150560922177,51.42143496760067
768,Wimbledon Park,3,525282.3792,172099.7465,-0.19908634010842738,51.434055248289106
769,Woodford,4,540949.981,191740.0184,0.03401185348011002,51.60686112070409
770,Wood Green,3,531014.9221,190428.396500001,-0.10985901912398979,51.5974714659873
771,Woodside Park,4,525718.4454,192588.1262,-0.1855114363532535,51.61808637995582
773,Hammersmith (H&C),2,523325.1097,178697.986300001,-0.2249293587788519,51.49378399419851
774,Edgware Road (Bak),1,527046.7044,181758.9463,-0.1702481178612425,51.52046920147198
775,Shepherd's Bush Market,2,523197.0859,180064.2324,-0.22629592219219624,51.50609054189476
776,Pimlico,1,529670.6464,178332.5964,-0.13370871250340682,51.489081972458365
777,Vauxhall LU,1/2,530336.7953,177973.004799999,-0.12425212298282715,51.48569743810505
778,Brixton LU,2,531052.3817,175428.6555,-0.1148949328839154,51.46266709356466
779,Hatton Cross,5/6,509608.3222,175362.561799999,-0.42346421038625753,51.46662784627763
780,Heathrow Terminals 123 LU,6,507585.6702,175839.6403,-0.4524258114844233,51.47130365988795
781,Heathrow Terminal 4 LU,6,508081.9464,174430.162599999,-0.44571396376058325,51.45854050640025
783,Heathrow Terminal 5 LU,6,505109.3841,175923.8204,-0.4880396396312293,51.4725252187983
784,Southwark,1,531592.3412,180073.990499999,-0.1053973366341109,51.50428757953954
787,Bermondsey,2,534459.7378,179416.223200001,-0.06435917646629304,51.49770238120657
788,Canada Water,2,535456.6419,179467.0078,-0.049987164956990765,51.49792096344705
789,North Greenwich,2/3,539215.8219,179859.374399999,0.004287576712352386,51.50053431205634
831,Nine Elms,1,529989.2567,177345.628799999,-0.12948529538068784,51.48013931574214
832,Battersea Power Station,1,529024.8784,177247.2655,-0.1434008238398742,51.47947593806482
852,Canary Wharf LU,2,537677.3398,180139.731799999,-0.01775363971134798,51.50343011540573
884,Canning Town,2/3,539428.3256,181377.274,0.00794669828970189,51.51412171801386
