lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01004468,60.322929999999985,42.219590000000004,26.772190000000002,53.63087000000001,49.127289999999995,25.334839999999996
E01004469,27.38912,29.056060000000002,22.60156,61.86357,56.537829999999985,49.178749999999994
E01004470,228.28786,139.02800000000002,119.00280000000001,335.67364,203.49439999999996,155.20164
E01004474,230.03884000000002,279.07444999999996,169.374,151.34866,175.26515999999998,109.38104
E01004476,579.8950400000001,503.68690000000004,295.05027,455.98016,406.0820499999999,241.45321
E01004477,20.58383,18.13281,6.58082,36.37755,29.980960000000003,9.176279999999998
E01004479,38.65427999999999,34.34698,16.149540000000002,54.283350000000006,50.59682,32.72501
E01004481,862.7050000000002,772.2948999999999,581.24775,459.05246,490.4443700000001,362.24772
E01004482,67.79432999999999,76.75501000000001,50.62538,50.20402,56.67815,34.83005000000001
E01004483,177.86529000000007,184.62302000000003,134.99196999999998,362.85263000000003,305.28444,242.74444999999997
E01004486,17.683609999999998,16.76055,10.62605,31.835279999999997,20.093569999999996,12.385040000000002
E01004491,35.290479999999995,31.60885,20.34261,67.25712,62.844249999999995,38.572790000000005
E01004492,336.69939,403.6031000000001,202.05214,498.59425,402.0476699999999,253.05751999999998
E01004493,138.35965000000002,108.50055000000002,86.98424999999999,148.78390000000002,133.06814999999995,109.1838
E01004494,197.52823,218.04799,126.52803999999999,252.15201000000002,212.46675,152.77343
E01004495,184.55122,177.58678,87.93540999999999,143.38674999999998,147.26766999999998,96.69964000000002
E01004496,628.11448,563.73338,310.10046,601.33661,605.6343499999999,362.77814000000006
E01004497,25.573190000000004,13.46429,5.259,23.294810000000005,17.60024,7.439130000000001
E01004498,117.72886999999999,137.17091000000002,71.07598,97.61526999999998,103.15509,76.62893
E01004499,106.7774,108.31589999999998,58.98567,130.25565,125.88658,101.71688999999999
E01004500,125.93567000000002,141.73970000000003,103.00992000000001,640.19087,649.1944,462.49451
E01004502,73.78600000000002,79.83546,40.39551,103.52549,95.19960999999999,72.72975
E01004503,109.38077999999999,87.88083999999999,85.33371,152.19540999999998,143.2012,116.24020999999996
E01004506,662.83065,705.2467900000004,458.90997999999996,675.6347999999998,783.46827,487.15349000000003
E01004507,474.32074,470.59323000000006,299.29353,303.56212000000005,429.0248400000001,231.23256999999995
E01004508,319.6627600000001,324.41773000000006,250.59150999999997,267.7934400000001,239.40479999999997,187.16678
E01004510,500.9847099999999,632.65928,345.4443,843.5264500000001,801.06288,515.0521600000001
E01004513,441.65162999999995,497.15045,245.67469999999997,225.9428,234.07012,152.85132999999996
E01004514,1020.8474500000002,1223.29,717.5294800000001,1436.3101699999997,1376.3713099999995,993.2555300000001
E01004517,306.97064,317.23331999999994,261.30751999999995,586.0434499999999,498.70448000000005,391.21273999999994
E01004519,259.93351,294.28195999999997,202.41438000000005,591.51932,409.1545300000001,320.9609200000001
E01004522,432.48831000000007,423.72744000000006,337.36852999999996,916.1400799999999,747.8460299999999,605.77347
E01004523,120.66888,96.37047000000001,58.32699999999999,226.9918,175.96358999999998,98.69321
E01004525,5175.90648,4511.104559999999,3487.0444999999995,3909.8157500000007,3986.8872800000004,2782.6361399999996
E01004526,49.698460000000004,8.748940000000001,22.1476,38.742999999999995,3.83923,19.591990000000003
E01004528,396.37194,381.5373799999999,309.26231999999993,470.65036000000003,451.06031999999993,340.63692999999995
E01004529,196.88957,168.78566999999998,168.24188,80.53036,52.74928999999999,57.27153000000001
E01004536,766.77264,737.57818,565.8260899999999,636.6644600000001,457.55280999999997,326.06841000000003
E01004537,316.87735,262.40228,206.28917,348.62707,296.23923,213.65766000000002
E01004538,261.89630999999997,254.22641000000002,189.00895,364.00694,354.54879,268.09403000000003
E01004540,459.3320399999999,455.18973,304.177,617.95402,488.71294000000006,364.43219
E01004541,309.25510999999995,333.20528999999993,228.51221000000004,322.57093000000003,330.17278999999996,237.53198000000003
E01004543,39.43362,39.18699,18.68716,39.49614,32.9261,20.36707
E01004545,939.27221,939.4033,535.0981300000001,630.58232,647.81018,361.9645499999999
E01004547,81.74766,71.28219,61.5631,89.74842,76.27204,54.48800000000001
E01004548,787.91397,726.0411500000001,538.85786,904.7179500000001,876.4923599999998,582.8692900000001
E01004549,46.2638,41.39848,27.60096,79.17703,70.17666000000001,59.45213000000001
E01004551,5693.93331,5817.64486,4605.001859999999,6119.963139999999,6156.468760000001,4048.8825800000004
E01004552,1073.0193899999997,1323.88913,664.32004,800.76006,890.5081100000001,482.28122999999994
E01004553,29.165100000000006,38.53149,19.716910000000002,25.538770000000003,27.360799999999994,18.911990000000003
E01004554,83.31064,84.57587000000001,31.761309999999998,138.65364999999997,95.71371999999998,56.66040999999999
E01004557,128.4136,107.22256000000002,54.00518,80.68139,78.86223,39.66204
