threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
50.0,scan,9,3228,89.84135819649318,365,10.15864180350682,5,42,True,35,5.473628499999904,306.00143114508063,-1779149.0403820202,-1926932.3954404285,55,951,1.7038413878562577,0.5696015501351044,1929.88465561486,0.0,0.5970440060934639,0.12056096006834796,0.12306769256054773,0.4669507167854128,0.3861390671409069,0.4662420516789018,0.4397772785350738,1.2952045909067507,False
50.0,scan,10,3228,89.84135819649318,365,10.15864180350682,5,42,True,37,5.158084400000007,306.02163126564795,-1757462.071048067,-1921666.474403857,83,789,2.5712515489467163,0.5890695160933351,1963.3109569552216,0.0,0.607306077363338,0.16873072084166119,0.13922927839931432,0.46725164440798456,0.3904632068618403,0.45480036937947654,0.43750507354976714,1.3464289941001728,False
70.0,scan,2,3028,84.27497912607849,565,15.725020873921514,5,42,True,20,0.5714213999999629,298.0039698405447,-1761417.70118748,-1793908.2679637042,1400,1628,46.23513870541612,0.464724018694612,1610.6366139063357,0.0,0.5319354309009702,0.04672368183413592,0.010207926319367119,0.05526468204601797,0.009761238419268698,0.04784058305731146,0.03762216784086605,12.352398741622174,False
70.0,scan,3,3028,84.27497912607849,565,15.725020873921514,5,42,True,49,1.0199216000000888,302.2955003624462,-1765758.8518544561,-1814497.7098475997,334,1489,11.030383091149274,0.45788028112618495,1590.0369483455797,0.0,0.5249708920150676,0.03115242916995253,0.04909763087639789,0.3094577642597417,0.20640183942021584,0.29194272254945114,0.2692674420764696,1.7004665606625808,False
70.0,scan,4,3028,84.27497912607849,565,15.725020873921514,5,42,True,19,1.3711101000008057,303.76638160943145,-1753017.9618577224,-1818005.1110677854,179,1317,5.911492734478204,0.4990315177371346,1692.7822333019503,0.0,0.5587904210654597,0.05415530418850635,0.06996799525053189,0.3705042327816917,0.2589889619956159,0.3447886194447165,0.3247606047406747,1.5366134637408295,False
70.0,scan,5,3028,84.27497912607849,565,15.725020873921514,5,42,True,15,1.3717986999999994,304.6218642236822,-1736555.95763857,-1817791.3980655523,144,1049,4.755614266842801,0.5399472361128286,1729.8020095961729,0.0,0.5708905092941359,0.11103350768598892,0.06992071367022,0.3757741212472382,0.311007005440172,0.3303170616583756,0.3390327294485953,1.5926109464151197,False
70.0,scan,6,3028,84.27497912607849,565,15.725020873921514,5,42,True,41,2.3011088999992353,305.5679622707303,-1720630.440051828,-1818114.1716957297,103,1032,3.401585204755614,0.5268498901136109,1686.0246405851394,0.0,0.556262290067882,0.12209582412817048,0.10588900637773217,0.4073267646513537,0.29522008988297466,0.3926457235084048,0.36506419268091106,1.4431705455541917,False
70.0,scan,7,3028,84.27497912607849,565,15.725020873921514,5,42,True,49,4.548465600000782,306.17468626362665,-1702654.7305879975,-1816386.7534488186,109,1062,3.5997357992073975,0.527121726955695,1691.7533075527408,0.0,0.5580116873726385,0.13161447263818093,0.10226215972958974,0.4161110020607575,0.3053123620661867,0.3981273059243015,0.37318355668374864,1.4124998744314987,False
70.0,scan,8,3028,84.27497912607849,565,15.725020873921514,5,42,True,30,4.962978699999439,307.0148312966644,-1686099.6109731053,-1816079.9250508456,71,814,2.344782034346103,0.5658387911875089,1781.8366201551326,0.0,0.587694245084481,0.16975889286662732,0.11880944770951028,0.47394960493562893,0.40781344705025396,0.4661495982829158,0.44930421675626625,1.2593667499329504,False
70.0,scan,9,3028,84.27497912607849,565,15.725020873921514,5,42,True,47,6.213095499999326,307.5190654291323,-1667496.8368240094,-1813725.4421186692,89,892,2.939233817701453,0.5469202763059517,1750.6220232719716,0.0,0.5772182919085695,0.15080012486457176,0.13558866795066168,0.41567077509421707,0.3558154170770139,0.3898248317347966,0.3871036746353425,1.4128521947541801,False
