MSOA11CD,hour,od_origin,od_destination
E02000079,5,37.0,165.0
E02000079,18,1462.0,1155.0
E02000079,19,927.0,772.0
E02000079,20,853.0,377.0
E02000079,21,602.0,253.0
E02000079,22,372.0,110.0
E02000079,23,114.0,58.0
E02000080,0,18.0,18.0
E02000080,4,0.0,59.0
E02000080,5,29.0,33.0
E02000080,18,763.0,753.0
E02000080,19,561.0,477.0
E02000080,20,323.0,289.0
E02000080,21,195.0,205.0
E02000080,22,192.0,158.0
E02000080,23,77.0,56.0
E02000081,0,11.0,23.0
E02000081,1,19.0,0.0
E02000081,5,50.0,39.0
E02000081,18,226.0,244.0
E02000081,19,171.0,163.0
E02000081,20,134.0,153.0
E02000081,21,31.0,79.0
E02000081,22,24.0,62.0
E02000081,23,12.0,48.0
E02000082,5,22.0,0.0
E02000082,18,163.0,211.0
E02000082,19,133.0,117.0
E02000082,20,91.0,218.0
E02000082,21,31.0,63.0
E02000082,22,10.0,41.0
E02000082,23,11.0,23.0
E02000083,3,0.0,21.0
E02000083,4,19.0,45.0
E02000083,5,43.0,87.0
E02000083,18,749.0,747.0
E02000083,19,530.0,400.0
E02000083,20,319.0,276.0
E02000083,21,144.0,92.0
E02000083,22,87.0,56.0
E02000083,23,84.0,33.0
E02000084,2,0.0,12.0
E02000084,4,51.0,14.0
E02000084,5,70.0,0.0
E02000084,18,141.0,284.0
E02000084,19,76.0,117.0
E02000084,20,68.0,67.0
E02000084,21,68.0,53.0
E02000084,22,14.0,15.0
E02000085,3,23.0,23.0
E02000085,4,14.0,0.0
E02000085,5,26.0,11.0
E02000085,18,140.0,226.0
E02000085,19,149.0,183.0
E02000085,20,74.0,98.0
E02000085,21,41.0,44.0
E02000085,22,20.0,20.0
E02000085,23,89.0,33.0
E02000086,4,14.0,14.0
E02000086,5,19.0,0.0
E02000086,18,101.0,146.0
E02000086,19,52.0,109.0
E02000086,20,0.0,39.0
E02000086,21,0.0,31.0
E02000087,0,25.0,38.0
E02000087,5,10.0,0.0
E02000087,18,227.0,184.0
E02000087,19,266.0,142.0
E02000087,20,64.0,107.0
E02000087,21,42.0,50.0
E02000087,22,30.0,18.0
E02000087,23,32.0,13.0
E02000088,0,0.0,26.0
E02000088,18,253.0,210.0
E02000088,19,160.0,82.0
E02000088,20,70.0,46.0
E02000088,21,17.0,68.0
E02000088,22,92.0,40.0
E02000088,23,0.0,46.0
E02000089,5,40.0,0.0
E02000089,18,205.0,260.0
E02000089,19,105.0,185.0
E02000089,20,107.0,102.0
E02000089,21,99.0,54.0
E02000089,22,10.0,85.0
E02000089,23,0.0,31.0
E02000090,0,51.0,107.0
E02000090,1,11.0,11.0
E02000090,2,12.0,12.0
E02000090,4,11.0,30.0
E02000090,5,71.0,228.0
E02000090,18,1020.0,1244.0
E02000090,19,770.0,903.0
E02000090,20,536.0,432.0
E02000090,21,298.0,309.0
E02000090,22,194.0,223.0
E02000090,23,168.0,120.0
E02000091,0,16.0,0.0
E02000091,5,54.0,42.0
E02000091,18,268.0,303.0
E02000091,19,236.0,206.0
E02000091,20,124.0,128.0
E02000091,21,83.0,84.0
E02000091,22,248.0,86.0
E02000091,23,83.0,60.0
E02000092,0,0.0,38.0
E02000092,5,121.0,51.0
E02000092,18,231.0,249.0
E02000092,19,72.0,146.0
E02000092,20,53.0,136.0
E02000092,21,25.0,55.0
E02000092,22,19.0,19.0
E02000092,23,19.0,43.0
E02000093,1,15.0,0.0
E02000093,5,49.0,99.0
E02000093,18,765.0,712.0
E02000093,19,631.0,502.0
E02000093,20,431.0,335.0
E02000093,21,246.0,193.0
E02000093,22,98.0,162.0
E02000093,23,49.0,19.0
E02000094,0,37.0,10.0
E02000094,5,178.0,80.0
E02000094,18,833.0,1293.0
E02000094,19,525.0,694.0
E02000094,20,642.0,410.0
E02000094,21,319.0,226.0
E02000094,22,212.0,152.0
E02000094,23,85.0,67.0
E02000095,0,36.0,25.0
E02000095,5,81.0,99.0
E02000095,18,1135.0,922.0
E02000095,19,852.0,683.0
E02000095,20,545.0,493.0
E02000095,21,358.0,270.0
E02000095,22,192.0,68.0
E02000095,23,153.0,52.0
E02000096,0,0.0,13.0
E02000096,5,89.0,38.0
E02000096,18,495.0,443.0
E02000096,19,407.0,306.0
E02000096,20,200.0,284.0
E02000096,21,82.0,82.0
E02000096,22,32.0,82.0
E02000096,23,0.0,49.0
E02000097,0,11.0,0.0
E02000097,2,0.0,18.0
E02000097,4,11.0,0.0
E02000097,5,101.0,136.0
E02000097,18,389.0,561.0
E02000097,19,235.0,405.0
E02000097,20,122.0,334.0
E02000097,21,63.0,118.0
E02000097,22,31.0,87.0
E02000097,23,0.0,49.0
E02000098,0,10.0,10.0
E02000098,5,0.0,22.0
E02000098,18,255.0,443.0
E02000098,19,212.0,427.0
E02000098,20,291.0,263.0
E02000098,21,82.0,177.0
E02000098,22,30.0,167.0
E02000098,23,13.0,133.0
E02000099,0,34.0,35.0
E02000099,1,12.0,0.0
E02000099,3,0.0,12.0
E02000099,4,16.0,38.0
E02000099,5,39.0,67.0
E02000099,18,403.0,553.0
E02000099,19,333.0,439.0
E02000099,20,276.0,303.0
E02000099,21,193.0,152.0
E02000099,22,98.0,100.0
E02000099,23,60.0,106.0
E02000100,0,38.0,12.0
E02000100,5,37.0,79.0
E02000100,18,551.0,436.0
E02000100,19,340.0,328.0
E02000100,20,343.0,141.0
E02000100,21,176.0,72.0
E02000100,22,115.0,93.0
E02000100,23,85.0,27.0
E02000101,0,14.0,25.0
E02000101,1,10.0,22.0
E02000101,4,24.0,20.0
E02000101,5,226.0,97.0
E02000101,18,1038.0,926.0
E02000101,19,813.0,747.0
E02000101,20,537.0,606.0
E02000101,21,352.0,459.0
E02000101,22,204.0,260.0
E02000101,23,66.0,83.0
E02000102,0,10.0,10.0
E02000102,4,101.0,0.0
E02000102,5,399.0,44.0
E02000102,18,223.0,312.0
E02000102,19,117.0,268.0
E02000102,20,100.0,160.0
E02000102,21,123.0,214.0
E02000102,22,52.0,117.0
E02000102,23,13.0,26.0
E02000103,0,40.0,45.0
E02000103,1,28.0,12.0
E02000103,3,11.0,48.0
E02000103,4,27.0,160.0
E02000103,5,160.0,127.0
E02000103,18,265.0,415.0
E02000103,19,232.0,349.0
E02000103,20,158.0,245.0
E02000103,21,127.0,276.0
E02000103,22,203.0,130.0
E02000103,23,72.0,70.0
E02000104,0,0.0,10.0
E02000104,2,0.0,11.0
E02000104,3,0.0,16.0
E02000104,5,95.0,53.0
E02000104,18,371.0,413.0
E02000104,19,367.0,299.0
E02000104,20,184.0,273.0
E02000104,21,157.0,184.0
E02000104,22,57.0,117.0
E02000104,23,12.0,92.0
E02000105,0,98.0,27.0
E02000105,1,11.0,11.0
E02000105,2,11.0,11.0
E02000105,4,40.0,36.0
E02000105,5,197.0,100.0
E02000105,18,589.0,1021.0
E02000105,19,524.0,776.0
E02000105,20,366.0,470.0
E02000105,21,297.0,264.0
E02000105,22,127.0,192.0
E02000105,23,124.0,160.0
E02000106,0,56.0,44.0
E02000106,1,34.0,22.0
E02000106,2,40.0,0.0
E02000106,3,11.0,11.0
E02000106,4,81.0,40.0
E02000106,5,160.0,66.0
E02000106,18,756.0,773.0
E02000106,19,487.0,462.0
E02000106,20,274.0,294.0
