MSOA11CD,od_destination_total,bus_alighting_total,std_residual
E02000119,3417,1708.56513,-0.37644541575156226
E02000120,979,900.45366,0.4233684257054059
E02000121,3694,2721.47658,0.18715304632149973
E02000122,698,762.12319,0.649100193335872
E02000123,5223,4032.20041,0.2764202642938594
E02000124,1373,2832.83281,1.6092107500047228
E02000125,646,323.24516,-0.4787028763522476
E02000126,683,1225.28781,1.3630927614244492
E02000127,1836,661.3364,-0.8876839581531151
E02000128,1453,670.22014,-0.5460228409840766
E02000130,2293,1238.11856,-0.29069003790690495
E02000131,2225,3193.78952,1.1167485539940754
E02000132,2857,957.86544,-0.9636303175358196
E02000133,879,433.39969,-0.4810740712968048
E02000134,4229,1706.00703,-0.6725470254621151
E02000135,2484,1393.09981,-0.23101959379937295
E02000136,833,320.5449,-0.8408894815253306
E02000137,992,264.95494,-1.3552770666202743
E02000138,717,329.92299,-0.5928947795154527
E02000139,592,736.14749,0.8259499107604539
E02000140,926,725.20545,0.18827343910018765
E02000141,1217,542.42722,-0.6063752325010932
E02000142,1127,278.15691,-1.4611964230142873
E02000144,5803,3282.78982,-0.1652351112166794
E02000145,1261,142.49739,-2.5757232796973843
E02000146,999,891.16146,0.3805642389134355
E02000147,1054,255.05739,-1.49349645448969
E02000148,1358,273.96225,-1.7399549223886308
E02000149,1005,402.70744,-0.7712906855272207
E02000150,1201,439.93797,-0.8895479388188668
E02000151,550,116.67519,-1.718986951683082
E02000152,1463,498.02276,-0.9830097988085121
E02000153,1068,355.09608,-1.036039019641619
E02000154,3257,2009.28658,-0.07663812883283307
E02000155,664,351.79558,-0.39483933826315465
E02000156,1872,412.35072,-1.5944144853748443
E02000157,823,358.96832,-0.6614597323553585
E02000158,1125,272.40096,-1.4887968371090554
E02000159,1135,741.8996999999999,-0.05933192504693324
E02000160,1185,467.56499,-0.7834241716302752
E02000161,1128,198.92824,-1.9438485371355176
E02000162,1382,338.67987,-1.459258283992213
E02000163,1149,284.57359,-1.455058942679723
E02000165,899,222.13053,-1.4728735321061979
E02000166,1307,1003.32144,0.18107352265565604
E02000167,567,246.96077,-0.6859562326009153
E02000168,1139,645.78439,-0.26399379670396356
E02000169,128,323.17427000000004,1.7447648246974674
E02000170,1123,1051.7918,0.4581227246576459
E02000171,680,714.0028599999999,0.5911427724159205
E02000172,1013,865.03325,0.3185234650605236
E02000173,974,1144.70213,0.7762115019429795
E02000174,728,753.51609,0.5747891833371762
E02000175,1849,1507.90194,0.29004982954904346
E02000176,420,394.03806,0.39870796360714994
E02000177,1406,1041.3274,0.13402566715287367
E02000178,703,2529.69009,2.3682250790301054
E02000179,501,142.93583999999998,-1.3000317370089336
E02000180,591,1236.10813,1.574969603788637
E02000181,509,27.60271,-3.652244199727594
E02000182,1018,1490.78004,1.0960135511816083
E02000183,887,317.2462,-0.9422813535165702
E02000184,1785,1685.58842,0.4991568934914949
E02000185,1129,2602.81799,1.7567445639217143
E02000186,3862,5285.46475,1.082892882764645
E02000187,6428,3046.5183,-0.41396425100818673
E02000188,2712,2682.31623,0.5922848324614768
E02000189,980,2294.13779,1.7697585774618503
E02000191,4571,3069.63153,0.06701077367718246
E02000192,1396,439.41806,-1.0985778541157971
E02000193,10538,8869.956040000001,0.4453459386202878
E02000194,2478,1785.42345,0.12993263725885698
E02000195,1493,1360.29922,0.4363303099768617
E02000196,1326,594.16595,-0.5934148803001852
E02000197,1436,941.17214,-0.040765854414543744
E02000198,1834,971.18556,-0.3327026004006879
E02000199,1223,383.17871,-1.1132909338828822
E02000200,2944,1557.12665,-0.3048100314233198
E02000201,1946,781.04352,-0.7282813672165473
E02000202,1178,648.6305600000001,-0.3040506698429473
E02000203,3676,2361.63773,-0.01056410538038477
E02000204,2032,2915.9699100000003,1.1106150393124774
E02000206,2376,1025.33792,-0.6114207731865152
E02000207,1446,835.56355,-0.22178657989934267
E02000208,2552,2134.60753,0.34685386609681984
E02000209,1630,579.57239,-0.9136812281876154
E02000210,1345,382.53013,-1.2467565699973042
E02000211,1019,232.01016,-1.5829975125912417
E02000212,2537,1152.03299,-0.5339297405528688
E02000213,7471,6775.95902,0.5313133057690295
E02000214,1055,118.34758,-2.595726046903625
E02000215,4084,1154.40921,-1.187318457477078
E02000216,1020,436.82193,-0.6747072264868236
E02000217,3193,1168.79974,-0.8301520360943255
E02000218,1179,705.06667,-0.1850758534727919
E02000219,1709,1070.30294,-0.09539307903584336
E02000220,11013,8312.05286,0.2908713578510835
E02000221,3112,1182.79217,-0.7775794634413333
E02000222,1230,643.9245099999999,-0.37405689776340423
E02000223,1217,416.16235,-0.9877232667514093
E02000224,1226,1004.21274,0.27051223110881306
