NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
609,0.7917257486431648,0.8294145410662901,0.7763795235745822,4,Holloway Road,19465.29097175873,9.876439580566018
610,0.5306449954594624,0.5343214272300142,0.5405006965244862,0,Hornchurch,5251.126535484708,8.56638832795133
611,0.7455072109862989,0.8147978431548062,0.7892551298864482,4,Hounslow Central,12969.395238467108,9.470424750128155
612,0.8258168992963381,0.8833498164442235,0.8385074837353319,4,Hounslow East,15270.020755579322,9.633712243102236
613,0.8750126911811312,0.9447076759092322,0.8976136727482226,3,Hounslow West,13121.16186504517,9.482057825223132
614,1.0019379599149771,1.0368487117407035,0.9694399529508135,2,Hyde Park Corner,12608.405740803117,9.442198301821783
615,0.6591109360162997,0.6664541081615709,0.6437790361748545,0,Ickenham,2685.1153526734383,7.895851322055837
616,0.9181338332675135,1.006037895028535,0.8987998542514427,4,Kennington,24113.4618608376,10.09056701671759
617,0.7386838796795993,0.7400191856847168,0.751381417965712,4,Kensal Green,7721.288304391753,8.951866011583299
618,0.7225740162158849,0.7225740162158849,0.707307785080689,2,Kensington (Olympia),7333.8523326931,8.900392558498918
619,0.6700040985372763,0.6783321275350336,0.6648840821685275,3,Kentish Town,36195.280876455225,10.496711654316462
620,0.761888570710802,0.7620618687982416,0.7228215940905462,2,Kenton,6298.438576631957,8.748215793588338
621,0.7443293431809562,0.7473404979993006,0.6779285318915367,0,Kew Gardens,10327.37659799109,9.242650395648589
622,0.8567822672940735,0.9064902693992312,0.8476957403436397,4,Kilburn,23755.4424491694,10.075609033695828
623,0.9181962588365514,0.9194110607757834,0.8586948378833161,4,Kilburn Park,11633.391730209602,9.361720795058186
624,0.7180512890117497,0.7548505417918203,0.7249068495703854,0,Kingsbury,14089.998213639616,9.553291447921952
625,1.0242774648187376,1.0463315267509814,0.9525801821158001,2,King's Cross St. Pancras,313585.6488670502,12.655830992786317
626,1.037334313803709,1.0492967397603026,0.9838728599723474,2,Knightsbridge,54051.02700447678,10.897702324759658
627,0.9132777459732705,0.9146160666278054,0.8647380561286533,4,Ladbroke Grove,17958.508968414637,9.795875001193721
628,0.8740661762501702,0.87455002324274,0.8109785557420721,4,Lambeth North,10095.077677967196,9.219902278686341
629,1.1365098711981643,1.1975573937123782,1.0491451360447783,4,Lancaster Gate,13279.869120568805,9.494079866714904
630,0.6134817401278747,0.6149557157776946,0.6091235263809377,2,Latimer Road,7284.808602364579,8.893683707989947
