unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,catchment_area_m2,station_in_loac_extent,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share,covered_area_m2,loac_coverage_ratio,analysis_eligible,dominant_loac_supergroup
1429,2,1.0,8.617224441346934e-21,Dalston Kingsland,LO,False,533525.0,185013.0,-0.0757,51.54822,Dalston Kingsland Station,naptan_rse_tmu,27342.53706549329,833881.0889079579,True,0.047619047619047616,0.4444444444444444,0.0,0.1746031746031746,0.31746031746031744,0.015873015873015872,0.0,833881.0889079509,0.9999999999999917,True,B
1434,4,0.9999925195536552,9.577375788525222e-05,Headstone Lane,LO,False,513890.5,190580.0,-0.356925,51.60255,Headstone Lane Station,naptan_rse_tmu,1896.592803514509,1816850.2758380536,True,0.0,0.0,0.5757575757575758,0.0,0.0,0.21212121212121213,0.21212121212121213,1816850.2758380524,0.9999999999999993,True,C
1437,2,1.0,5.761788849666011e-15,Brondesbury,LO,False,524781.0,184460.0,-0.20193,51.54525,Brondesbury Station,naptan_rse_tmu,9020.71768084669,499842.8537522239,True,0.0425531914893617,0.3829787234042553,0.0,0.1702127659574468,0.3829787234042553,0.02127659574468085,0.0,499842.853752227,1.0000000000000062,True,B
1438,2,1.0,5.69184338933282e-14,Brondesbury Park,LO,False,524240.0,183966.0,-0.2099,51.54093,Brondesbury Park Station,naptan_rse_tmu,4205.31611649326,866202.8228645482,True,0.1724137931034483,0.48275862068965514,0.0,0.06896551724137931,0.24137931034482757,0.034482758620689655,0.0,866202.8228645407,0.9999999999999915,True,B
1439,2,1.0,6.924097058953092e-29,Caledonian Road & Barnsbury,LO,False,530771.0,184379.0,-0.11563,51.54317,Caledonian Road & Barnsbury Station,naptan_rse_tmu,8483.48134668194,1268743.587755758,True,0.1875,0.28750000000000003,0.0,0.1625,0.3375,0.025,0.0,1268743.5877557485,0.9999999999999925,True,E
1440,2,1.0,7.739391571482418e-45,Camden Road,LO,False,529182.0,184174.0,-0.1386,51.54169,Camden Road Station,naptan_rse_tmu,17631.7438585111,851927.1246443423,True,0.15517241379310345,0.3448275862068966,0.0,0.1724137931034483,0.29310344827586204,0.034482758620689655,0.0,851927.1246443453,1.0000000000000033,True,B
1441,4,1.0,3.832409849688942e-20,Canonbury,LO,False,532397.0,185039.0,-0.09195,51.54872,Canonbury Station,naptan_rse_tmu,11526.9840725646,1431951.8351722045,True,0.24489795918367346,0.3571428571428571,0.0,0.16326530612244897,0.22448979591836732,0.01020408163265306,0.0,1431951.835172194,0.9999999999999927,True,B
1443,3,1.0,1.8170848293303032e-51,Dalston Junction,LO,False,533562.0,184744.5,-0.075265,51.545795,Dalston Junction Station,naptan_rse_tmu,30748.784176192472,657630.995301643,True,0.22641509433962265,0.24528301886792453,0.0,0.2830188679245283,0.22641509433962265,0.018867924528301886,0.0,657630.9953016443,1.000000000000002,True,D
1445,2,1.0,2.2505523583121464e-34,Finchley Road & Frognal,LO,False,526094.0,185044.0,-0.1828,51.5502,Finchley Road & Frognal Station,naptan_rse_tmu,7386.99512397987,599056.9838943325,True,0.3783783783783784,0.08108108108108109,0.0,0.40540540540540543,0.13513513513513514,0.0,0.0,599056.9838943358,1.0000000000000056,True,D
1448,2,0.9999999999681676,8.003144730621682e-10,Kensal Rise,LO,False,523571.0,183243.0,-0.2198,51.534575,Kensal Rise Station,naptan_rse_tmu,11179.220135998206,997920.4286917008,True,0.1111111111111111,0.5,0.037037037037037035,0.018518518518518517,0.1111111111111111,0.1111111111111111,0.1111111111111111,997920.4286916916,0.9999999999999908,True,B
