lsoa,cluster,max_posterior,entropy
E01000530,3,1.0,2.3659454925315996e-28
E01000531,2,1.0,7.237535513081511e-29
E01000532,2,1.0,1.2530034227935938e-39
E01000533,1,1.0,1.6523825714507825e-13
E01000535,1,0.9999999999999005,3.097901462241159e-12
E01000541,3,1.0,3.290171948101351e-29
E01000543,1,1.0,5.1959586620965205e-15
E01000544,1,0.9998310219503141,0.001636663470533753
E01000545,1,0.9999999999999858,3.7528982928790367e-13
E01000547,2,1.0,1.4652333389313353e-47
E01000548,1,1.0,9.366303476066534e-14
E01000550,1,1.0,1.7896920260563724e-15
E01000551,2,1.0,3.4937080086552996e-34
E01000552,2,1.0,9.335603154372147e-36
E01000553,2,0.9999951630920686,6.40369485638485e-05
E01000554,2,1.0,7.671588464556362e-46
E01000555,3,1.0,8.470352676631303e-22
E01000556,1,0.9999999873585779,2.4254205893221873e-07
E01000557,2,0.9999703235135694,0.00033905803262576894
E01000563,2,1.0,2.3229687439476755e-30
E01000564,3,1.0,1.5797188864917502e-27
E01000565,1,0.9999679656265104,0.00036354801527703885
E01000568,1,0.999999692885628,4.912615480916607e-06
E01000571,3,1.0,4.676229380590537e-27
E01000574,0,1.0,6.136901925661903e-15
E01000575,3,1.0,4.01936505917488e-25
E01000576,3,1.0,1.6864327098791616e-26
E01000577,3,1.0,4.727029121801581e-23
E01000578,1,0.9999980586382706,2.747438401226661e-05
E01000580,2,1.0,3.2768888473496905e-54
E01000581,2,0.9999999999997797,6.586070001793485e-12
E01000583,1,0.9999999999999858,3.6217341395569244e-13
E01000586,1,1.0,7.276195912902765e-17
E01000587,0,1.0,4.956102265196375e-20
E01000589,2,1.0,3.1182652745814676e-83
E01000590,0,1.0,6.051720804750639e-15
E01000591,2,0.9999722781425537,0.00031861494545038513
E01000592,2,1.0,5.747622607411672e-62
E01000594,1,0.9999999999988205,3.360542400720098e-11
E01000595,0,1.0,7.595322691952028e-21
E01000596,0,1.0,2.689871550006345e-15
E01000599,1,0.9999993984353457,9.218215256143736e-06
E01000601,0,0.9999999999999716,1.0796632411273757e-12
E01000602,0,0.99999999999865,3.8074354739287913e-11
E01000603,0,0.999999999996632,9.218075544368703e-11
E01000604,0,0.9999999999998153,5.665022044869259e-12
E01000605,2,1.0,3.3451708934523274e-61
E01000606,0,1.0,1.0912460946668197e-176
E01000608,1,1.0,3.159684191137443e-16
E01000609,0,1.0,2.603443916916496e-151
E01000612,1,0.9999999999998579,4.445738869908071e-12
E01000615,0,1.0,2.4416793082203337e-76
E01000616,1,0.9477545781267299,0.20507441435051266
E01000620,1,0.999999999999929,2.111722163113142e-12
E01000621,1,0.9999999999998863,3.3310790777331637e-12
E01000622,0,1.0,6.878435634943157e-27
E01000623,1,0.9999999469093283,9.424265545096894e-07
E01000625,1,0.9976638592329232,0.016488682383530205
E01000626,1,0.9999999998700275,3.0885852962101923e-09
E01000627,1,0.9986679365354031,0.01015080278909024
E01000628,1,0.9999999999950262,1.3447378440406358e-10
E01000633,1,1.0,3.695046716911344e-18
E01000634,1,1.0,2.2830732240026502e-14
E01000636,1,0.9999999999958931,1.11822007678582e-10
E01000638,1,1.0,2.241141995081658e-15
E01000640,1,1.0,1.8646339127999077e-16
E01000642,1,1.0,6.563553498325786e-17
E01000643,1,1.0,6.386169823479848e-14
E01000646,0,1.0,5.150398330653207e-18
E01000648,0,1.0,1.4099437442025636e-16
E01000649,3,1.0,4.660077455412616e-25
E01000650,0,1.0,1.3188842804512176e-22
E01000651,0,1.0,5.58027910447645e-17
E01000653,0,1.0,2.5826595245856217e-23
E01000656,0,1.0,1.9891837874623907e-32
E01000657,0,1.0,2.084736704183038e-14
E01000659,0,0.9999999999999858,4.704859498747534e-13
E01000661,2,1.0,1.1710527909647676e-33
E01000662,2,1.0,4.0637632479747013e-103
E01000663,2,1.0,1.4378682768641021e-145
E01000665,3,1.0,8.922747193320022e-25
E01000666,0,1.0,1.2702034171767619e-20
E01000667,3,1.0,1.7571678547869979e-22
E01000668,1,0.9998973984478139,0.0010449564039438284
E01000670,2,1.0,5.330588073198331e-20
E01000671,2,1.0,1.5311397142774445e-32
E01000672,2,1.0,3.453808301155261e-172
E01000673,0,1.0,1.0923691377017052e-20
E01000674,2,1.0,3.5983847500524914e-128
E01000676,1,0.9999999999975557,6.775037710064852e-11
E01000677,3,1.0,1.946912450197219e-21
E01000678,2,1.0,2.036338606037137e-71
E01000679,0,1.0,4.340227548471026e-35
E01000682,0,1.0,8.335434650767554e-20
E01000683,0,1.0,4.633996664963822e-20
E01000684,0,1.0,2.692529043232023e-117
E01000685,0,1.0,2.3419066171611852e-23
E01000686,3,1.0,4.809734178336096e-21
E01000687,0,1.0,6.219259802613149e-23
E01000690,0,1.0,2.41867632820432e-16
E01000691,2,1.0,1.4121826845571163e-47
E01000692,2,1.0,9.487380537450439e-102
E01000693,3,1.0,8.259827716828312e-25
E01000694,0,1.0,3.653114358136876e-21
E01000696,2,1.0,4.504468085090223e-16
E01000697,3,1.0,6.831640695136484e-27
E01000698,0,1.0,5.056058538858119e-23
E01000699,3,1.0,5.0752334289809415e-21
E01000700,0,1.0,1.4806236951262073e-29
E01000702,2,1.0,2.478333527162061e-41
E01000703,2,1.0,3.0335170738756795e-29
E01000704,0,0.9999999999999858,4.2858372067313207e-13
E01000705,3,1.0,9.972756014221755e-23
E01000706,3,1.0,8.572679717416501e-24
