lsoa,tier,total_activity
E01000696,3_reliable_core,1058.46616
E01000697,3_reliable_core,769.4704899999999
E01000698,2_below_reliable_threshold,115.93041
E01000699,3_reliable_core,660.90921
E01000700,2_below_reliable_threshold,91.75832
E01000701,1_matched_stop_no_activity,
E01000702,3_reliable_core,637.91266
E01000703,3_reliable_core,1398.55284
E01000704,2_below_reliable_threshold,171.16185
E01000705,2_below_reliable_threshold,39.01192
E01000706,3_reliable_core,940.29614
E01000707,2_below_reliable_threshold,116.02139
E01000708,3_reliable_core,465.13246
E01000709,2_below_reliable_threshold,193.83068
E01000710,2_below_reliable_threshold,192.38819
E01000711,2_below_reliable_threshold,80.05724
E01000712,2_below_reliable_threshold,445.68302
E01000713,2_below_reliable_threshold,91.47844
E01000714,3_reliable_core,5135.02359
E01000715,2_below_reliable_threshold,426.21806
E01000716,2_below_reliable_threshold,128.61697
E01000717,2_below_reliable_threshold,369.68792
E01000718,2_below_reliable_threshold,299.82138
E01000719,2_below_reliable_threshold,311.54676
E01000720,2_below_reliable_threshold,42.55536
E01000721,2_below_reliable_threshold,90.8383
E01000722,3_reliable_core,1323.27936
E01000723,2_below_reliable_threshold,43.37265
E01000724,2_below_reliable_threshold,60.6526
E01000725,2_below_reliable_threshold,62.40476
E01000726,2_below_reliable_threshold,28.68083
E01000727,3_reliable_core,1183.05832
E01000728,2_below_reliable_threshold,250.7266
