lsoa,retained_for_fit,min_direction_activity,cluster
E01001122,True,121.70390999999998,2
E01001123,False,22.995420000000003,-1
E01001124,False,35.09174,-1
E01001125,True,863.9308100000002,1
E01001127,True,197.65910999999997,1
E01001129,True,54.22397000000001,0
E01001130,True,124.13206999999998,0
E01001132,True,57.573470000000015,0
E01001133,True,173.65985,2
E01001134,True,94.55775,0
E01001135,True,475.7659100000001,1
E01001136,True,2123.568849999999,1
E01001137,True,386.7514599999999,1
E01001138,True,84.37252000000001,0
E01001139,True,532.095,2
E01001140,True,61.56170000000001,0
E01001142,True,329.9111299999999,0
E01001143,True,135.14192,0
E01001144,True,39.3094,0
E01001145,True,889.8363200000001,1
E01001147,True,259.99744,1
E01001148,True,109.86193000000004,0
E01001149,True,66.8951,2
E01001150,True,134.93814,2
E01001151,True,284.88063,2
E01001152,True,666.89802,1
E01001154,True,211.08575999999996,1
E01001155,True,3360.40468,1
E01001156,True,832.9061200000001,1
E01001157,True,706.3832200000002,1
E01001158,True,165.54152999999997,2
E01001159,True,410.36759,1
E01001162,True,39.61462,0
E01001163,True,108.40084000000002,2
E01001164,True,1820.11052,1
E01001165,True,455.84597,0
E01001166,True,273.06584,1
E01001167,True,914.9785399999996,1
E01001168,True,321.8185899999999,1
E01001169,True,93.04568,2
E01001170,True,1429.7984899999997,1
E01001171,True,226.13711,1
E01001172,True,646.37619,2
E01001173,True,200.63609,0
E01001175,True,167.65735,2
E01001176,True,211.83985,0
E01001177,True,370.35344,1
E01001178,True,2265.33787,1
E01001180,True,279.70958,0
E01001181,True,432.40573,1
E01001182,True,775.28618,1
E01001183,True,4011.43176,1
E01001185,True,289.68039,1
E01001186,True,682.95758,1
E01001187,True,93.07976,0
E01001191,False,16.998979999999996,-1
E01001192,True,385.66095,0
E01001193,True,115.46008999999998,0
E01001195,True,73.05908,0
E01001196,False,32.08684999999999,-1
E01001197,True,131.16062,0
E01001199,True,293.59784999999994,0
E01001202,True,285.65509,1
E01001204,True,60.41039,0
E01001205,True,101.58579000000002,2
E01001206,True,110.75742,0
E01001207,True,207.87945000000008,0
E01001208,True,669.0785000000001,1
E01001209,True,337.3340600000001,1
E01001210,True,329.5471,0
E01001211,True,139.19610000000003,0
E01001212,True,304.5533399999999,1
E01001214,True,426.84169000000014,1
E01001215,True,1408.25933,1
E01001216,True,299.87448000000006,1
E01001218,True,416.7644000000001,0
E01001219,True,95.44414,0
E01001220,True,108.88041,0
E01001225,True,10174.25152,1
E01001226,True,383.69865000000016,1
E01001228,True,261.7789,0
E01001229,True,95.58855,0
E01001230,True,136.50317000000004,0
E01001233,True,792.1919699999999,1
E01001235,True,493.0897099999999,2
E01001237,False,31.64452,-1
E01001239,True,58.06508999999999,2
E01001240,True,324.8917800000001,2
E01001241,True,201.41584,1
E01001243,True,708.84791,1
E01001244,True,1771.1693599999996,1
E01001245,True,562.8740499999999,1
E01001246,True,519.6376100000001,2
E01001247,True,2361.3457900000003,1
E01001248,True,442.2121599999999,1
