lsoa,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
E01000133,3,0.12908497302878638,14.163777575241916,10,1.7480673485460896,1.8866967846580784,6,7,8,1.559581156259877,1.7328679513998633,5,6,2.3978952727983707,77.4683510044966,2.1972245773362196,61.97468080359728
E01000134,0,0.13490528358986606,14.764213969921533,22,1.4315524972108729,2.0475592960447475,5,10,16,1.1626998334975678,1.840748728569281,4,8,3.1354942159291497,163.0773785471855,2.833213344056216,118.60172985249855
E01000135,2,0.3221690195559408,8.582129415712197,37,1.8848134762303423,2.645948850062431,9,18,35,1.7702174961695925,2.574846319934943,8,17,3.6375861597263857,114.84654871842943,3.58351893845611,108.6386271660819
E01000136,2,0.5401355183826604,7.98742633379174,44,1.8168698594543806,2.4109207168582683,7,15,34,1.6576481967788004,2.1489644850870544,6,12,3.8066624897703196,81.46103802199522,3.5553480614894135,62.94716574426904
E01000138,2,0.2235847716151453,8.381324352195655,22,1.5813632638474335,2.093808943808019,6,11,18,1.3532737176317284,1.9795962153613327,5,10,3.1354942159291497,98.3966834640618,2.9444389791664403,80.50637737968692
E01000139,1,0.40021179767026355,7.800791474732918,82,2.074169970930381,2.8390984775433794,9,24,69,1.9453427507946863,2.773501276260887,8,22,4.418840607796598,204.89151113821038,4.248495242049359,172.40871059190872
E01000140,1,0.12701584042623623,7.833245835206263,90,1.6333541424400773,2.4949973152192526,7,17,84,1.4875972667629735,2.410786380454947,6,16,4.51085950651685,708.5730385909387,4.442651256490317,661.3348360182094
E01000141,1,0.3651095068188476,8.508120816042991,152,1.8730587470551865,2.8521960191545395,9,30,135,1.7144578690510963,2.722074874622071,8,27,5.030437921392435,416.31345435060445,4.912654885736052,369.7520811666553
E01000143,0,0.15746178625922558,8.024233989673192,32,1.6651720278004634,2.6020246312990167,7,16,29,1.4941162736426088,2.527884663709978,6,15,3.4965075614664802,203.22391076727126,3.4011973816621555,184.17166913283958
E01000144,2,0.23014788712665055,8.967055239947676,232,1.5929764626331635,2.8746267237157093,9,33,223,1.4865551360356164,2.785679308912804,8,30,5.4510384535657,1008.0474902310541,5.4116460518550396,968.9421996617459
E01000146,1,0.213479181665216,8.561151715919717,189,1.823913965724127,2.933564418344929,9,33,178,1.7009206383615778,2.86031916911714,8,31,5.247024072160486,885.3322301768753,5.187385805840755,833.8049575210783
E01000150,1,0.42303748710637135,11.859094171473036,67,1.7148051941691536,2.963936826242317,9,28,65,1.6292155294534596,2.8954543754193383,8,26,4.219507705176107,158.37839917754872,4.189654742026425,153.65068576926367
E01000151,1,0.11985758163874205,13.27709718493691,34,1.7300572882361478,2.351093997125435,7,14,27,1.5383206069845783,2.113915667022322,6,11,3.5553480614894135,283.66999846933373,3.332204510175204,225.2673517256474
E01000152,0,0.12642013663152019,13.530405868513784,12,1.4451858789480823,1.5607104090414068,5,6,8,1.2130075659799042,1.3862943611198906,4,5,2.5649493574615367,94.92158701723831,2.1972245773362196,63.281058011492206
E01000154,1,0.17020239056288838,13.077052654163577,25,1.5758085584187542,2.608906305975449,6,15,23,1.409825202880616,2.532757537181371,5,14,3.258096538021482,146.88395337645218,3.1780538303479458,135.133237106336
E01000156,1,0.21168556343833766,10.485549743892774,67,1.63361739798615,2.694831187476263,8,20,63,1.4968353233813243,2.6254277661723977,7,19,4.219507705176107,316.5071765487521,4.1588830833596715,297.6112257100206
E01000159,0,0.49920218828004287,12.57124338305216,42,1.6619162431411314,2.5302977432821057,8,17,37,1.4721489344333205,2.3669317633758786,7,15,3.7612001156935624,84.13424657593609,3.6375861597263857,74.1182648407056
